AD	Andorra la Vella	77006	468	EU	Euro	ca
AE	Abu Dhabi	9630959	82880	AS	Dirham	ar-AE,fa,en,hi,ur
AF	Kabul	37172386	647500	AS	Afghani	fa-AF,ps,uz-AF,tk
AG	St. John's	96286	443	NA	Dollar	en-AG
AI	The Valley	13254	102	NA	Dollar	en-AI
AL	Tirana	2866376	28748	EU	Lek	sq,el
AM	Yerevan	3090500	29800	AS	Dram	hy
AO	Luanda	30809762	1246700	AF	Kwanza	pt-AO
AQ		0	14000000	AN		
AR	Buenos Aires	44494502	2766890	SA	Peso	es-AR,en,it,de,fr,gn
AS	Pago Pago	55465	199	OC	Dollar	en-AS,sm,to
AT	Vienna	8847037	83858	EU	Euro	de-AT,hr,hu,sl
AU	Canberra	24992369	7686850	OC	Dollar	en-AU
AW	Oranjestad	105845	193	NA	Guilder	nl-AW,pap,es,en
AX	Mariehamn	26711	1580	EU	Euro	sv-AX
AZ	Baku	10224900	86600	AS	Manat	az,ru,hy
BA	Sarajevo	3323929	51129	EU	Marka	bs,hr-BA,sr-BA
BB	Bridgetown	286641	431	NA	Dollar	en-BB
BD	Dhaka	161356039	144000	AS	Taka	bn-BD,en
BE	Brussels	11422068	30510	EU	Euro	nl-BE,fr-BE,de-BE
BF	Ouagadougou	19751535	274200	AF	Franc	fr-BF,mos
BG	Sofia	7000039	110910	EU	Lev	bg,tr-BG,rom
BH	Manama	1569439	665	AS	Dinar	ar-BH,en,fa,ur
BI	Gitega	11175378	27830	AF	Franc	fr-BI,rn
BJ	Porto-Novo	11485048	112620	AF	Franc	fr-BJ
BL	Gustavia	8450	21	NA	Euro	fr
BM	Hamilton	63968	53	NA	Dollar	en-BM,pt
BN	Bandar Seri Begawan	428962	5770	AS	Dollar	ms-BN,en-BN
BO	Sucre	11353142	1098580	SA	Boliviano	es-BO,qu,ay
BQ		18012	328	NA	Dollar	nl,pap,en
BR	Brasilia	209469333	8511965	SA	Real	pt-BR,es,en,fr
BS	Nassau	385640	13940	NA	Dollar	en-BS
BT	Thimphu	754394	47000	AS	Ngultrum	dz
BV		0	49	AN	Krone	
BW	Gaborone	2254126	600370	AF	Pula	en-BW,tn-BW
BY	Minsk	9485386	207600	EU	Belarusian ruble	be,ru
BZ	Belmopan	383071	22966	NA	Dollar	en-BZ,es
CA	Ottawa	37058856	9984670	NA	Dollar	en-CA,fr-CA,iu
CC	West Island	628	14	AS	Dollar	ms-CC,en
CD	Kinshasa	84068091	2345410	AF	Franc	fr-CD,ln,ktu,kg,sw,lua
CF	Bangui	4666377	622984	AF	Franc	fr-CF,sg,ln,kg
CG	Brazzaville	5244363	342000	AF	Franc	fr-CG,kg,ln-CG
CH	Bern	8516543	41290	EU	Franc	de-CH,fr-CH,it-CH,rm
CI	Yamoussoukro	25069229	322460	AF	Franc	fr-CI
CK	Avarua	21388	240	OC	Dollar	en-CK,mi
CL	Santiago	18729160	756950	SA	Peso	es-CL
CM	Yaounde	25216237	475440	AF	Franc	en-CM,fr-CM
CN	Beijing	1411778724	9596960	AS	Yuan Renminbi	zh-CN,yue,wuu,dta,ug,za
CO	Bogota	49648685	1138910	SA	Peso	es-CO
CR	San Jose	4999441	51100	NA	Colon	es-CR,en
CU	Havana	11338138	110860	NA	Peso	es-CU,pap
CV	Praia	543767	4033	AF	Escudo	pt-CV
CW	 Willemstad	159849	444	NA	Guilder	nl,pap
CX	Flying Fish Cove	1500	135	OC	Dollar	en,zh,ms-CX
CY	Nicosia	1189265	9250	EU	Euro	el-CY,tr-CY,en
CZ	Prague	10625695	78866	EU	Koruna	cs,sk
DE	Berlin	82927922	357021	EU	Euro	de
DJ	Djibouti	958920	23000	AF	Franc	fr-DJ,ar,so-DJ,aa
DK	Copenhagen	5797446	43094	EU	Krone	da-DK,en,fo,de-DK
DM	Roseau	71625	754	NA	Dollar	en-DM
DO	Santo Domingo	10627165	48730	NA	Peso	es-DO
DZ	Algiers	42228429	2381740	AF	Dinar	ar-DZ
EC	Quito	17084357	283560	SA	Dollar	es-EC
EE	Tallinn	1320884	45226	EU	Euro	et,ru
EG	Cairo	98423595	1001450	AF	Pound	ar-EG,en,fr
EH	El-Aaiun	273008	266000	AF	Dirham	ar,mey
ER	Asmara	6209262	121320	AF	Nakfa	aa-ER,ar,tig,kun,ti-ER
ES	Madrid	46723749	504782	EU	Euro	es-ES,ca,gl,eu,oc
ET	Addis Ababa	109224559	1127127	AF	Birr	am,en-ET,om-ET,ti-ET,so-ET,sid
FI	Helsinki	5518050	337030	EU	Euro	fi-FI,sv-FI,smn
FJ	Suva	883483	18270	OC	Dollar	en-FJ,fj
FK	Stanley	2638	12173	SA	Pound	en-FK
FM	Palikir	112640	702	OC	Dollar	en-FM,chk,pon,yap,kos,uli,woe,nkr,kpg
FO	Torshavn	48497	1399	EU	Krone	fo,da-FO
FR	Paris	66987244	547030	EU	Euro	fr-FR,frp,br,co,ca,eu,oc
GA	Libreville	2119275	267667	AF	Franc	fr-GA
GB	London	66488991	244820	EU	Pound	en-GB,cy-GB,gd
GD	St. George's	111454	344	NA	Dollar	en-GD
GE	Tbilisi	3704500	69700	AS	Lari	ka,ru,hy,az
GF	Cayenne	195506	91000	SA	Euro	fr-GF
GG	St Peter Port	65228	78	EU	Pound	en,nrf
GH	Accra	29767108	239460	AF	Cedi	en-GH,ak,ee,tw
GI	Gibraltar	33718	6.5	EU	Pound	en-GI,es,it,pt
GL	Nuuk	56025	2166086	NA	Krone	kl,da-GL,en
GM	Banjul	2280102	11300	AF	Dalasi	en-GM,mnk,wof,wo,ff
GN	Conakry	12414318	245857	AF	Franc	fr-GN
GP	Basse-Terre	443000	1780	NA	Euro	fr-GP
GQ	Ciudad de la Paz	1308974	28051	AF	Franc	es-GQ,fr,pt
GR	Athens	10727668	131940	EU	Euro	el-GR,en,fr
GS	Grytviken	30	3903	AN	Pound	en
GT	Guatemala City	17247807	108890	NA	Quetzal	es-GT
GU	Hagatna	165768	549	OC	Dollar	en-GU,ch-GU
GW	Bissau	1874309	36120	AF	Franc	pt-GW,pov
GY	Georgetown	779004	214970	SA	Dollar	en-GY
HK	Hong Kong	7396076	1092	AS	Dollar	zh-HK,yue,zh,en
HM		0	412	AN	Dollar	
HN	Tegucigalpa	9587522	112090	NA	Lempira	es-HN,cab,miq
HR	Zagreb	3871833	56542	EU	Euro	hr-HR,sr
HT	Port-au-Prince	11123176	27750	NA	Gourde	ht,fr-HT
HU	Budapest	9768785	93030	EU	Forint	hu-HU
ID	Jakarta	267663435	1919440	AS	Rupiah	id,en,nl,jv
IE	Dublin	4853506	70280	EU	Euro	en-IE,ga-IE
IL	Jerusalem	8883800	20770	AS	Shekel	he,ar-IL,en-IL,
IM	Douglas	84077	572	EU	Pound	en,gv
IN	New Delhi	1352617328	3287590	AS	Rupee	en-IN,hi,bn,te,mr,ta,ur,gu,kn,ml,or,pa,as,bh,sat,ks,ne,sd,kok,doi,mni,sit,sa,fr,lus,inc
IO	Diego Garcia	4000	60	AS	Dollar	en-IO
IQ	Baghdad	38433600	437072	AS	Dinar	ar-IQ,ku,hy
IR	Tehran	81800269	1648000	AS	Rial	fa-IR,ku
IS	Reykjavik	353574	103000	EU	Krona	is,en,de,da,sv,no
IT	Rome	60431283	301230	EU	Euro	it-IT,de-IT,fr-IT,sc,ca,co,sl
JE	Saint Helier	90812	116	EU	Pound	en,fr,nrf
JM	Kingston	2934855	10991	NA	Dollar	en-JM
JO	Amman	9956011	92300	AS	Dinar	ar-JO,en
JP	Tokyo	126529100	377835	AS	Yen	ja
KE	Nairobi	51393010	582650	AF	Shilling	en-KE,sw-KE
KG	Bishkek	6315800	198500	AS	Som	ky,uz,ru
KH	Phnom Penh	16249798	181040	AS	Riels	km,fr,en
KI	Tarawa	115847	811	OC	Dollar	en-KI,gil
KM	Moroni	832322	2170	AF	Franc	ar,fr-KM
KN	Basseterre	52441	261	NA	Dollar	en-KN
KP	Pyongyang	25549819	120540	AS	Won	ko-KP
KR	Seoul	51635256	98480	AS	Won	ko-KR,en
XK	Pristina	1845300	10908	EU	Euro	sq,sr
KW	Kuwait City	4137309	17820	AS	Dinar	ar-KW,en
KY	George Town	64174	262	NA	Dollar	en-KY
KZ	Nur-Sultan	18276499	2717300	AS	Tenge	kk,ru
LA	Vientiane	7061507	236800	AS	Kip	lo,fr,en
LB	Beirut	6848925	10400	AS	Pound	ar-LB,fr-LB,en,hy
LC	Castries	181889	616	NA	Dollar	en-LC
LI	Vaduz	37910	160	EU	Franc	de-LI
LK	Colombo	21670000	65610	AS	Rupee	si,ta,en
LR	Monrovia	4818977	111370	AF	Dollar	en-LR
LS	Maseru	2108132	30355	AF	Loti	en-LS,st,zu,xh
LT	Vilnius	2789533	65200	EU	Euro	lt,ru,pl
LU	Luxembourg	607728	2586	EU	Euro	lb,de-LU,fr-LU
LV	Riga	1926542	64589	EU	Euro	lv,ru,lt
LY	Tripoli	6678567	1759540	AF	Dinar	ar-LY,it,en
MA	Rabat	36029138	446550	AF	Dirham	ar-MA,ber,fr
MC	Monaco	38682	1.95	EU	Euro	fr-MC,en,it
MD	Chisinau	3545883	33843	EU	Leu	ro,ru,gag,tr
ME	Podgorica	622345	14026	EU	Euro	sr,hu,bs,sq,hr,rom
MF	Marigot	37264	53	NA	Euro	fr
MG	Antananarivo	26262368	587040	AF	Ariary	fr-MG,mg
MH	Majuro	58413	181.3	OC	Dollar	mh,en-MH
MK	Skopje	2082958	25333	EU	Denar	mk,sq,tr,rmm,sr
ML	Bamako	19077690	1240000	AF	Franc	fr-ML,bm
MM	Nay Pyi Taw	53708395	678500	AS	Kyat	my
MN	Ulaanbaatar	3170208	1565000	AS	Tugrik	mn,ru
MO	Macao	631636	254	AS	Pataca	zh,zh-MO,pt
MP	Saipan	56882	477	OC	Dollar	fil,tl,zh,ch-MP,en-MP
MQ	Fort-de-France	432900	1100	NA	Euro	fr-MQ
MR	Nouakchott	4403319	1030700	AF	Ouguiya	ar-MR,fuc,snk,fr,mey,wo
MS	Plymouth	9341	102	NA	Dollar	en-MS
MT	Valletta	483530	316	EU	Euro	mt,en-MT
MU	Port Louis	1265303	2040	AF	Rupee	en-MU,bho,fr
MV	Male	515696	300	AS	Rufiyaa	dv,en
MW	Lilongwe	17563749	118480	AF	Kwacha	ny,yao,tum,swk
MX	Mexico City	126190788	1972550	NA	Peso	es-MX
MY	Kuala Lumpur	31528585	329750	AS	Ringgit	ms-MY,en,zh,ta,te,ml,pa,th
MZ	Maputo	29495962	801590	AF	Metical	pt-MZ,vmw
NA	Windhoek	2448255	825418	AF	Dollar	en-NA,af,de,hz,naq
NC	Noumea	284060	19060	OC	Franc	fr-NC
NE	Niamey	22442948	1267000	AF	Franc	fr-NE,ha,kr,dje
NF	Kingston	1828	34.6	OC	Dollar	en-NF
NG	Abuja	195874740	923768	AF	Naira	en-NG,ha,yo,ig,ff
NI	Managua	6465513	129494	NA	Cordoba	es-NI,en
NL	Amsterdam	17231017	41526	EU	Euro	nl-NL,fy-NL
NO	Oslo	5314336	324220	EU	Krone	no,nb,nn,se,fi
NP	Kathmandu	28087871	140800	AS	Rupee	ne,en
NR	Yaren	12704	21	OC	Dollar	na,en-NR
NU	Alofi	2166	260	OC	Dollar	niu,en-NU
NZ	Wellington	4885500	268680	OC	Dollar	en-NZ,mi
OM	Muscat	4829483	212460	AS	Rial	ar-OM,en,bal,ur
PA	Panama City	4176873	78200	NA	Balboa	es-PA,en
PE	Lima	31989256	1285220	SA	Sol	es-PE,qu,ay
PF	Papeete	277679	4167	OC	Franc	fr-PF,ty
PG	Port Moresby	8606316	462840	OC	Kina	en-PG,ho,meu,tpi
PH	Manila	106651922	300000	AS	Peso	tl,en-PH,fil,ceb,ilo,hil,war,pam,bik,bcl,pag,mrw,tsg,mdh,cbk,krj,sgd,msb,akl,ibg,yka,mta,abx
PK	Islamabad	212215030	803940	AS	Rupee	ur-PK,en-PK,pa,sd,ps,brh
PL	Warsaw	37978548	312685	EU	Zloty	pl
PM	Saint-Pierre	7012	242	NA	Euro	fr-PM
PN	Adamstown	46	47	OC	Dollar	en-PN
PR	San Juan	3195153	9104	NA	Dollar	en-PR,es-PR
PS	East Jerusalem	4569087	5970	AS	Shekel	ar-PS
PT	Lisbon	10281762	92391	EU	Euro	pt-PT,mwl
PW	Melekeok	17907	458	OC	Dollar	pau,sov,en-PW,tox,ja,fil,zh
PY	Asuncion	6956071	406750	SA	Guarani	es-PY,gn
QA	Doha	2781677	11437	AS	Rial	ar-QA,es
RE	Saint-Denis	776948	2517	AF	Euro	fr-RE
RO	Bucharest	19473936	237500	EU	Leu	ro,hu,rom
RS	Belgrade	6982084	88361	EU	Dinar	sr,hu,bs,rom
RU	Moscow	144478050	17100000	EU	Ruble	ru,tt,xal,cau,ady,kv,ce,tyv,cv,udm,tut,mns,bua,myv,mdf,chm,ba,inh,kbd,krc,av,sah,nog
RW	Kigali	12301939	26338	AF	Franc	rw,en-RW,fr-RW,sw
SA	Riyadh	33699947	1960582	AS	Rial	ar-SA
SB	Honiara	652858	28450	OC	Dollar	en-SB,tpi
SC	Victoria	96762	455	AF	Rupee	en-SC,fr-SC
SD	Khartoum	41801533	1861484	AF	Pound	ar-SD,en,fia
SS	Juba	8260490	644329	AF	Pound	en
SE	Stockholm	10183175	449964	EU	Krona	sv-SE,se,sma,fi-SE
SG	Singapore	5638676	692.7	AS	Dollar	cmn,en-SG,ms-SG,ta-SG,zh-SG
SH	Jamestown	7460	410	AF	Pound	en-SH
SI	Ljubljana	2067372	20273	EU	Euro	sl,sh
SJ	Longyearbyen	2550	62049	EU	Krone	no,ru
SK	Bratislava	5447011	48845	EU	Euro	sk,hu
SL	Freetown	7650154	71740	AF	Leone	en-SL,men,tem
SM	San Marino	33785	61.2	EU	Euro	it-SM
SN	Dakar	15854360	196190	AF	Franc	fr-SN,wo,fuc,mnk
SO	Mogadishu	15008154	637657	AF	Shilling	so-SO,ar-SO,it,en-SO
SR	Paramaribo	575991	163270	SA	Dollar	nl-SR,en,srn,hns,jv
ST	Sao Tome	197700	1001	AF	Dobra	pt-ST
SV	San Salvador	6420744	21040	NA	Dollar	es-SV
SX	Philipsburg	40654	21	NA	Guilder	nl,en
SY	Damascus	16906283	185180	AS	Pound	ar-SY,ku,hy,arc,fr,en
SZ	Mbabane	1136191	17363	AF	Lilangeni	en-SZ,ss-SZ
TC	Cockburn Town	37665	430	NA	Dollar	en-TC
TD	N'Djamena	15477751	1284000	AF	Franc	fr-TD,ar-TD,sre
TF	Port-aux-Francais	140	7829	AN	Euro	fr
TG	Lome	7889094	56785	AF	Franc	fr-TG,ee,hna,kbp,dag,ha
TH	Bangkok	69428524	514000	AS	Baht	th,en
TJ	Dushanbe	9100837	143100	AS	Somoni	tg,ru
TK		1466	10	OC	Dollar	tkl,en-TK
TL	Dili	1267972	15007	OC	Dollar	tet,pt-TL,id,en
TM	Ashgabat	5850908	488100	AS	Manat	tk,ru,uz
TN	Tunis	11565204	163610	AF	Dinar	ar-TN,fr
TO	Nuku'alofa	103197	748	OC	Pa'anga	to,en-TO
TR	Ankara	82319724	780580	AS	Lira	tr-TR,ku,diq,az,av
TT	Port of Spain	1389858	5128	NA	Dollar	en-TT,hns,fr,es,zh
TV	Funafuti	11508	26	OC	Dollar	tvl,en,sm,gil
TW	Taipei	23451837	35980	AS	Dollar	zh-TW,zh,nan,hak
TZ	Dodoma	56318348	945087	AF	Shilling	sw-TZ,en,ar
UA	Kyiv	40000000	603700	EU	Hryvnia	uk,ru-UA,rom,pl,hu
UG	Kampala	42723139	236040	AF	Shilling	en-UG,lg,sw,ar
UM		0	0	OC	Dollar	en-UM
US	Washington	327167434	9629091	NA	Dollar	en-US,es-US,haw,fr
UY	Montevideo	3449299	176220	SA	Peso	es-UY
UZ	Tashkent	32955400	447400	AS	Som	uz,ru,tg
VA	Vatican City	921	0.44	EU	Euro	la,it,fr
VC	Kingstown	110211	389	NA	Dollar	en-VC,fr
VE	Caracas	28870195	912050	SA	Bolivar Soberano	es-VE
VG	Road Town	29802	153	NA	Dollar	en-VG
VI	Charlotte Amalie	106977	352	NA	Dollar	en-VI
VN	Hanoi	95540395	329560	AS	Dong	vi,en,fr,zh,km
VU	Port Vila	292680	12200	OC	Vatu	bi,en-VU,fr-VU
WF	Mata Utu	16025	274	OC	Franc	wls,fud,fr-WF
WS	Apia	196130	2944	OC	Tala	sm,en-WS
YE	Sanaa	28498687	527970	AS	Rial	ar-YE
YT	Mamoudzou	279471	374	AF	Euro	fr-YT
ZA	Pretoria	57779622	1219912	AF	Rand	zu,xh,af,nso,en-ZA,tn,st,ts,ss,ve,nr
ZM	Lusaka	17351822	752614	AF	Kwacha	en-ZM,bem,loz,lun,lue,ny,toi
ZW	Harare	16868409	390580	AF	Zimbabwe Gold	en-ZW,sn,nr,nd
CS	Belgrade	10829175	102350	EU	Dinar	cu,hu,sq,sr
AN	Willemstad	300000	960	NA	Guilder	nl-AN,en,es
